id,refseq,uniprot,gene,chrom,start,end
A_23_P359647,NM_138714,A0A024R734,,,,
A_23_P359655,NM_152437,A0A024RBR7,,,,
A_23_P35970,NM_001467,A0A024R3H9,,,,
A_23_P359738,NM_015630,Q52LR7,,,,
A_23_P359746,NM_176817,P59533,,,,
A_23_P35977,NM_024791,B0YJ61,,,,
A_23_P359854,NM_001080450,Q5T5X7,,,,
A_23_P359870,ENST00000400102,,,,,
A_23_P35989,NM_139178,Q96Q83,,,,
A_23_P359897,NM_030647,Q6ZMT4,,,,
A_23_P359904,NM_182612,Q8NB37,,,,
A_23_P35995,NM_024769,Q9H6B4,,,,
A_23_P360079,NM_207363,,,,,
A_23_P360167,NM_006400,Q13561,,,,
A_23_P360179,NM_032442,Q96JN8,,,,
A_23_P36018,NM_014312,Q96IQ7,,,,
A_23_P3602,NM_001243657,P0C024,,,,
A_23_P360209,ENST00000361227,,,,,
A_23_P360240,NM_138768,A0A024R5F1,,,,
A_23_P360245,NM_145266,Q8WVJ2,,,,
A_23_P360268,NR_026935,,,,,
A_23_P360291,ENST00000480730,,,,,
A_23_P360302,NM_001522,P51841,,,,
A_23_P360316,NM_000149,A8K737,,,,
A_23_P360354,NM_152548,Q96LP2,,,,
A_23_P36050,NM_001005202,Q8NH51,,,,
A_23_P360542,NR_023925,,,,,
A_23_P360626,NM_178836,Q8N2A8,,,,
A_23_P360744,NM_000448,P15918,,,,
A_23_P360754,NM_005099,O75173,,,,
A_23_P36076,NM_003146,A0A024R4Z6,,,,
A_23_P360769,NM_002372,Q16706,,,,
A_23_P360797,NM_002527,P20783,,,,
A_23_P360804,NM_020939,Q9HCH3,,,,
A_23_P360874,NM_152892,Q9UFC0,,,,
A_23_P360924,NM_012131,P56750,,,,
A_23_P360964,NM_145056,Q96B18,,,,
A_23_P360990,NM_138812,Q8WWB3,,,,
A_23_P361014,NM_020856,Q63HK5,,,,
A_23_P361049,NM_012223,B0I1S9,,,,
A_23_P361085,NR_003038,,,,,
A_23_P36120,NM_022349,A0A024R516,,,,
A_23_P361333,NM_032137,Q8ND61,,,,
A_23_P361381,NM_007068,Q14565,,,,
A_23_P361405,NM_003549,A0A024R2Y7,,,,
A_23_P361419,NM_018369,Q8WUY9,,,,
A_23_P361448,NM_144665,P58005,,,,
A_23_P361469,NM_152396,Q8TCB7,,,,
A_23_P361495,NM_006856,P17544,,,,
A_23_P361544,NM_173815,Q5XG92,,,,
A_23_P361569,NM_025181,A0A024RAD4,,,,
A_23_P36157,NM_018093,Q6RFH5,,,,
A_23_P361584,NM_152680,Q6P9G4,,,,
A_23_P361604,NM_001242671,Q9BR46,,,,
A_23_P361654,ENST00000492446,,,,,
A_23_P361744,NM_001135995,B4DYC7,,,,
A_23_P361773,NM_001760,P30281,,,,
A_23_P361820,NM_015104,Q2TAZ0,,,,
A_23_P36183,NM_005316,P32780,,,,
A_23_P361841,NM_020734,Q9ULI2,,,,
A_23_P36187,NM_138567,Q8NBV8,,,,
A_23_P361940,NM_003874,Q9UIB8,,,,
A_23_P36203,NM_001004052,Q96RD2,,,,
A_23_P362046,NM_138779,A0A024RDZ1,,,,
A_23_P362148,NM_139072,Q8NFT8,,,,
A_23_P362183,NM_173551,Q68DC2,,,,
A_23_P362191,NR_026951,,,,,
A_23_P362228,NR_033690,,,,,
A_23_P36226,NM_032315,Q9BSK2,,,,
A_23_P362637,NM_015255,B3KXG6,,,,
A_23_P362659,NM_002468,A0A0A0MS70,,,,
A_23_P36266,NM_003477,O00330,,,,
A_23_P362694,NM_152997,Q540F3,,,,
A_23_P362712,NM_001145364,,,,,
A_23_P362736,NM_173565,B2RC85,,,,
A_23_P362759,NM_018699,Q9NQX1,,,,
A_23_P362770,NM_178173,Q8IYA8,,,,
A_23_P362810,NR_026866,,,,,
A_23_P362824,NM_001324,Q05048,,,,
A_23_P362893,NM_021961,P28347,,,,
A_23_P36305,NM_033388,Q8NAA4,,,,
A_23_P363163,NM_001008390,Q9UFW8,,,,
A_23_P363174,NM_003511,,,,,
A_23_P363203,NR_028288,,,,,
A_23_P36322,NM_001567,O15357,,,,
A_23_P363255,NM_025214,A0A024R2B9,,,,
A_23_P363275,NM_144668,Q8TBY9,,,,
A_23_P363301,NM_152401,Q8N4E4,,,,
A_23_P363313,NM_153357,Q8NCK7,,,,
A_23_P363316,NM_002147,P09067,,,,
A_23_P363331,NM_005459,O95843,,,,
A_23_P363365,NM_016568,Q9NSD7,,,,
A_23_P363399,NM_030674,A0A024R124,,,,
A_23_P363406,NM_015305,A0A024R6B2,,,,
A_23_P36345,NM_006645,A0A024R5L8,,,,
A_23_P363647,NM_182540,Q5JSJ4,,,,
A_23_P363769,NM_002284,O43790,,,,
A_23_P363778,NM_001463,D9ZGF6,,,,
A_23_P363826,NM_033406,Q49AF1,,,,
A_23_P363831,NM_033406,Q49AF1,,,,
A_23_P363878,NM_144629,Q52LD8,,,,
A_23_P363896,NR_027162,,,,,
A_23_P363936,NM_014278,O95757,,,,
A_23_P363954,NM_003251,Q92748,,,,
A_23_P363968,NM_016546,Q9NZP8,,,,
A_23_P36397,NM_000785,O15528,,,,
A_23_P36408,NM_022916,Q96AX1,,,,
A_23_P364107,NM_018353,Q6P0N0,,,,
A_23_P3643,NM_001374,Q92874,,,,
A_23_P364324,NM_152701,A0A0A0MT16,,,,
A_23_P364355,ENST00000390361,,,,,
A_23_P36439,ENST00000321688,,,,,
A_23_P364414,NM_032089,Q9Y5G4,,,,
A_23_P364437,NM_022124,Q6P152,,,,
A_23_P364444,ENST00000462493,,,,,
A_23_P364465,NM_022913,Q86WP2,,,,
A_23_P364478,NM_032182,Q15018,,,,
A_23_P364517,NM_021237,Q9Y6D0,,,,
A_23_P364544,NM_175874,Q5U649,,,,
A_23_P364567,NM_052995,,,,,
A_23_P364613,NM_138413,Q86XE5,,,,
A_23_P364625,NM_022901,Q9H756,,,,
A_23_P36464,NM_018164,Q9NVM9,,,,
A_23_P364766,NM_001009608,Q5VYV7,,,,
A_23_P364792,NR_045129,,,,,
A_23_P364837,NM_015378,Q5THJ4,,,,
A_23_P36484,NM_003708,O75452,,,,
A_23_P364890,NM_014771,A0A024QZG0,,,,
A_23_P365060,NM_014611,Q9NU22,,,,
A_23_P365086,NM_022096,Q9NU02,,,,
A_23_P36513,NM_001206710,P54619,,,,
A_23_P365149,NM_005881,A0A024QZA9,,,,
A_23_P365189,NM_015099,O94983,,,,
A_23_P365201,NM_178233,Q7RTS5,,,,
A_23_P365218,NM_025048,Q3SXM8,,,,
A_23_P365226,NM_152445,Q96MY7,,,,
A_23_P365248,NM_172347,Q32MC1,,,,
A_23_P36531,NM_004616,P19075,,,,
A_23_P365327,ENST00000369746,,,,,
A_23_P365412,NM_181644,Q8N468,,,,
A_23_P365418,NM_001195220,Q6ZMS7,,,,
A_23_P365614,NM_004557,Q99466,,,,
A_23_P36562,NM_002205,P08648,,,,
A_23_P365719,NM_003190,A0A024RCT1,,,,
A_23_P365725,NM_147199,Q96LB2,,,,
A_23_P365738,NM_015193,Q7LC44,,,,
A_23_P365767,NM_000720,Q01668,,,,
A_23_P365817,NM_138689,Q96C90,,,,
A_23_P365844,NM_153232,Q8N6I1,,,,
A_23_P366035,NM_001206673,Q7Z5M8,,,,
A_23_P366098,NM_207308,Q5VU65,,,,
A_23_P36611,NM_181861,O14727,,,,
A_23_P366125,AK074080,,,,,
A_23_P366216,NM_003524,Q93079,,,,
A_23_P366230,NM_004690,O95835,,,,
A_23_P36624,NM_023919,Q9NYW3,,,,
A_23_P3663,NM_138418,Q9BUT9,,,,
A_23_P366328,NM_152415,Q8NEZ2,,,,
A_23_P366366,NM_014766,,,,,
A_23_P366376,NM_003212,P13385,,,,
A_23_P366394,NM_016653,,,,,
A_23_P36641,NM_020661,Q546Y9,,,,
A_23_P366453,NM_152688,Q5VWX1,,,,
A_23_P36647,NM_177441,Q71RG4,,,,
A_23_P36658,NM_145791,A0A024RAX2,,,,
A_23_P366682,NM_033513,Q6ZTW0,,,,
A_23_P366726,NM_201520,Q3KQZ1,,,,
A_23_P366812,NM_001651,P55064,,,,
A_23_P36689,NM_006992,A8K8K2,,,,
A_23_P366936,NM_173086,P48668,,,,
A_23_P366983,NM_013381,Q9UKU6,,,,
A_23_P36700,NM_018009,Q9BX59,,,,
A_23_P367013,NM_177437,P59551,,,,
A_23_P367043,NR_003595,,,,,
A_23_P367071,NR_024062,,,,,
A_23_P36724,NM_152441,Q8N1E6,,,,
A_23_P367405,NM_000281,P61457,,,,
A_23_P367420,NM_003813,Q9UKJ8,,,,
A_23_P36753,NM_000690,P05091,,,,
A_23_P367586,NM_173589,,,,,
A_23_P367628,NM_014802,Q86YS7,,,,
A_23_P367663,ENST00000414544,,,,,
A_23_P367676,NM_015477,Q96ST3,,,,
A_23_P367816,NM_032167,Q8TEQ0,,,,
A_23_P367899,NM_000121,P19235,,,,
A_23_P36795,NM_005639,,,,,
A_23_P368067,NM_018833,Q9UP03,,,,
A_23_P3681,NM_018092,Q8NC67,,,,
A_23_P368101,NM_024632,Q9HAJ7,,,,
A_23_P368126,NM_006621,A0A024R0A8,,,,
A_23_P368145,NM_152281,B3KQ87,,,,
A_23_P368154,NM_153703,Q7Z5L7,,,,
A_23_P368195,NM_173491,P83369,,,,
A_23_P368225,NM_152463,Q96AY2,,,,
A_23_P36825,NM_003979,Q8NFJ5,,,,
A_23_P368259,NM_152361,Q96D98,,,,
A_23_P368278,NM_014824,O94868,,,,
A_23_P368338,NM_001139444,Q5T215,,,,
A_23_P368393,NM_001005526,B4DGZ4,,,,
A_23_P368484,NM_207387,,,,,
A_23_P368558,NM_015348,Q92545,,,,
A_23_P368645,NM_003659,O00116,,,,
A_23_P36865,NM_025114,O15078,,,,
A_23_P368681,NM_015660,A0A090N8H4,,,,
A_23_P368691,NM_005691,A0A024RAV7,,,,
A_23_P368711,NM_006864,,,,,
A_23_P368718,NM_020456,A0A024RDT6,,,,
A_23_P368740,NM_032019,Q969S8,,,,
A_23_P368773,NM_152476,Q96MR9,,,,
A_23_P368779,NM_153608,Q8NC26,,,,
A_23_P368794,NM_174937,Q5VWI1,,,,
A_23_P368805,NM_007072,Q9UM44,,,,
A_23_P36882,NM_006183,P30990,,,,
A_23_P368847,NM_080753,Q9H1F0,,,,
A_23_P368870,NR_038868,,,,,
A_23_P36888,NM_138371,A0A024R115,,,,
A_23_P368886,NM_175856,Q70JA7,,,,
A_23_P368896,NM_013346,Q3SYF1,,,,
A_23_P368909,NR_027701,,,,,
A_23_P368934,NM_001142641,Q9HCM7,,,,
A_23_P368996,NM_198075,Q8IYG6,,,,
A_23_P36905,NM_001507,O43193,,,,
A_23_P369090,ENST00000278979,,,,,
A_23_P369237,NM_004797,A8K660,,,,
A_23_P36928,NM_015972,,,,,
A_23_P369328,NM_145306,A0A024QZL0,,,,
A_23_P369343,NM_144505,O60259,,,,
A_23_P369344,NM_152610,Q8N715,,,,
A_23_P36939,NM_012345,Q9UHK0,,,,
A_23_P369456,NM_033542,,,,,
A_23_P369471,NM_178431,Q5TA76,,,,
A_23_P369479,NM_170721,,,,,
A_23_P369485,NR_027107,,,,,
A_23_P369641,NM_001100878,A6NGR9,,,,
A_23_P369654,AB023170,,,,,
A_23_P369666,ENST00000468376,,,,,
A_23_P369701,NM_021214,Q6PCB6,,,,
A_23_P36972,NM_007129,A0A024RDY6,,,,
A_23_P369733,NM_020850,Q6VN20,,,,
A_23_P369746,AF161372,,,,,
A_23_P369815,NM_000639,P48023,,,,
A_23_P36985,NM_002590,O95206,,,,
A_23_P369899,NM_015444,Q8WZ71,,,,
A_23_P369983,NM_174905,Q17RN3,,,,
A_23_P369987,NM_001039479,O15033,,,,
A_23_P369994,NM_004734,O15075,,,,
A_23_P37005,NM_004294,A0A024RDT1,,,,
A_23_P370054,NM_173699,Q96M61,,,,
A_23_P370097,NM_001044385,Q96Q45,,,,
A_23_P370142,NM_002572,P68402,,,,
A_23_P370147,ENST00000316517,,,,,
A_23_P370162,NM_182969,Q6P2D8,,,,
A_23_P370434,NM_001212,Q07021,,,,
A_23_P370454,NM_004732,O43448,,,,
A_23_P370479,NM_015352,,,,,
A_23_P370494,NM_032101,Q9Y5F8,,,,
A_23_P370544,NM_144708,Q70AK8,,,,
A_23_P370569,NM_152440,Q96MD2,,,,
A_23_P370574,NM_153443,A0A0B4J1R5,,,,
A_23_P370588,NM_024016,P17481,,,,
A_23_P370625,NM_020451,Q9NZV5,,,,
A_23_P370666,NM_080661,Q969I3,,,,
A_23_P37068,NM_145725,Q13114,,,,
A_23_P370682,NM_138456,Q8N1L9,,,,
A_23_P370684,NM_145720,Q8IY51,,,,
A_23_P370733,NR_026743,,,,,
A_23_P370786,NM_175911,Q8N349,,,,
A_23_P370830,NM_020805,Q9P2G3,,,,
A_23_P37088,NM_152443,Q96NR8,,,,
A_23_P370924,NM_001124767,Q8WVI0,,,,
A_23_P370989,NM_005914,B4DLA6,,,,
A_23_P371011,NM_182490,Q658S5,,,,
A_23_P371039,NM_002531,P30989,,,,
A_23_P371076,ENST00000472022,,,,,
A_23_P371129,NM_032444,Q8IY92,,,,
A_23_P371145,NM_138430,Q8NDY3,,,,
A_23_P371168,NM_152620,Q495X7,,,,
A_23_P371215,NM_012092,Q53QY6,,,,
A_23_P371239,NM_198390,Q8IY22,,,,
A_23_P371254,NM_176884,P59537,,,,
A_23_P371266,NM_015569,,,,,
A_23_P37127,NM_004496,P55317,,,,
A_23_P371410,NM_207578,,,,,
A_23_P37144,NM_080664,Q96FN9,,,,
A_23_P371613,NM_203298,Q96BP2,,,,
A_23_P37167,NM_002471,P13533,,,,
A_23_P371682,NM_005708,Q9Y625,,,,
A_23_P371729,NM_005266,P36382,,,,
A_23_P371758,NM_148897,Q8NEX9,,,,
A_23_P371765,NM_032261,Q9H0A9,,,,
A_23_P371777,ENST00000490216,,,,,
A_23_P371787,NM_014734,Q92537,,,,
A_23_P371824,NM_020127,Q9NNX1,,,,
A_23_P371835,NM_080473,Q9BWX5,,,,
A_23_P371861,NM_173538,Q8NA66,,,,
A_23_P371865,NM_152342,Q8N8U2,,,,
A_23_P371876,NM_138775,Q96BT7,,,,
A_23_P371885,NM_016632,,,,,
A_23_P37191,NM_002797,P28074,,,,
A_23_P372096,ENST00000375678,,,,,
A_23_P372144,NM_021231,Q8WUQ7,,,,
A_23_P372255,NM_002221,B2R9J0,,,,
A_23_P372308,NM_020211,Q96B86,,,,
A_23_P37231,NM_001005503,Q8NGC1,,,,
A_23_P372331,NM_182916,A0A024R2H7,,,,
A_23_P372334,NM_144716,J3KR35,,,,
A_23_P372356,NM_153040,Q32M92,,,,
A_23_P372368,NR_033800,,,,,
A_23_P372467,NM_152392,Q719I0,,,,
A_23_P372478,NM_175739,Q86WD7,,,,
A_23_P372638,NM_025134,Q3L8U1,,,,
A_23_P37265,NM_018229,A0A024R654,,,,
A_23_P372660,NM_015635,A0A024R8A2,,,,
A_23_P372771,NM_020447,Q5XKK7,,,,
A_23_P37283,NM_006568,Q99675,,,,
A_23_P372834,NM_198098,A0A024RA31,,,,
A_23_P372848,NM_002558,P51575,,,,
A_23_P372860,NM_003512,A0A024R017,,,,
A_23_P372874,NM_001024210,Q99584,,,,
A_23_P372923,NM_001174066,,,,,
A_23_P372925,NM_033426,Q9C0C6,,,,
A_23_P372946,NM_138461,Q96DZ7,,,,
A_23_P372988,NM_001134316,Q8IZ63,,,,
A_23_P372994,NM_153833,Q8IZA3,,,,
A_23_P373031,NM_000719,,,,,
A_23_P373054,NM_173826,,,,,
A_23_P373079,NM_152716,Q86TB9,,,,
A_23_P373109,NM_130773,Q8WYK1,,,,
A_23_P373119,NR_002165,,,,,
A_23_P37327,NM_005050,A0A024R6B9,,,,
A_23_P373464,NM_002285,P51826,,,,
A_23_P37347,NM_012245,Q13573,,,,
A_23_P373521,NM_021973,P61296,,,,
A_23_P373541,NM_014208,Q9NZW4,,,,
A_23_P373568,NM_025129,A0A024QZF7,,,,
A_23_P373584,NM_139167,Q96LD1,,,,
A_23_P37359,NM_014430,Q9UHD4,,,,
A_23_P373598,NM_002360,A0A024R804,,,,
A_23_P373619,NM_172139,Q8IZI9,,,,
A_23_P373649,NM_006327,O14925,,,,
A_23_P373687,NM_144709,Q3MIT2,,,,
A_23_P373708,NR_028334,,,,,
A_23_P373724,NM_003622,,,,,
A_23_P373742,NM_178556,Q8N9V2,,,,
A_23_P37375,NM_004755,Q9UG98,,,,
A_23_P373799,NM_020943,Q9HCG8,,,,
A_23_P37391,NM_001144995,A6NKD9,,,,
A_23_P373927,NM_015051,Q9BS26,,,,
A_23_P374082,NM_033274,Q8TBU7,,,,
A_23_P37410,NM_031226,A0A024R5S8,,,,
A_23_P374149,NM_015050,Q8N1G2,,,,
A_23_P37415,NM_014701,Q93073,,,,
A_23_P374216,NM_147197,Q8NEX6,,,,
A_23_P374226,NM_173358,A0A024R019,,,,
A_23_P37424,NM_024063,Q9BVQ7,,,,
A_23_P374281,NM_152623,Q86Y33,,,,
A_23_P374288,NM_007359,O15234,,,,
A_23_P374294,NM_145023,Q96M83,,,,
A_23_P374322,NM_153218,Q7Z395,,,,
A_23_P374351,NM_173562,Q7Z5Y7,,,,
A_23_P374389,NM_138499,Q6NUJ5,,,,
A_23_P37441,NM_004048,P61769,,,,
A_23_P374559,NM_181710,Q8WWF5,,,,
A_23_P374689,NM_000817,Q8IVA8,,,,
A_23_P374695,NM_000459,Q02763,,,,
A_23_P374767,NM_015983,A0A024RA90,,,,
A_23_P374782,NM_001024666,,,,,
A_23_P37484,NM_014918,Q86X52,,,,
A_23_P374844,NM_015973,P22466,,,,
A_23_P374892,NR_003276,,,,,
A_23_P374902,NM_152353,Q8NHS1,,,,
A_23_P374919,NM_144702,A8K8H7,,,,
A_23_P375,NM_018101,Q53HL2,,,,
A_23_P37514,NM_015492,Q6ZRI6,,,,
A_23_P375147,ENST00000373670,,,,,
A_23_P375165,NM_207459,Q8NA77,,,,
A_23_P375281,NM_080706,Q8NER1,,,,
A_23_P375354,NM_005422,O75443,,,,
A_23_P375372,NM_021871,,,,,
A_23_P375419,NM_144965,Q8NEE8,,,,
A_23_P37545,NM_024666,Q6PD74,,,,
A_23_P375524,NM_178352,Q5T752,,,,
A_23_P375549,NM_173794,Q8IVP5,,,,
A_23_P375566,NM_178509,Q6ZWJ1,,,,
A_23_P37560,NM_003847,B2R8C6,,,,
A_23_P37569,NM_006122,P49641,,,,
A_23_P375922,NM_001858,Q14993,,,,
A_23_P37598,NM_012428,Q9Y639,,,,
A_23_P376036,NM_152596,Q8NHP7,,,,
A_23_P376060,NM_012481,Q9UKT9,,,,
A_23_P376088,NM_017806,Q9H400,,,,
A_23_P376096,NM_182919,Q8IUC6,,,,
A_23_P376114,NM_176887,P59540,,,,
A_23_P376124,NM_138331,Q8TDE3,,,,
A_23_P376172,NM_178840,Q8NEQ6,,,,
A_23_P376188,NM_001100912,,,,,
A_23_P37623,NM_181077,A7E2F4,,,,
A_23_P376239,NM_032632,A0A024R6M3,,,,
A_23_P376372,NM_001017967,,,,,
A_23_P376449,THC2532340,,,,,
A_23_P376488,NM_000594,P01375,,,,
A_23_P37654,NM_001164273,,,,,
A_23_P376557,NM_022468,Q9NPA2,,,,
A_23_P376591,NM_206808,Q8N0X4,,,,
A_23_P376599,NM_006788,Q15311,,,,
A_23_P376627,NM_152783,B4E3K7,,,,
A_23_P376661,NM_005600,Q86X76,,,,
A_23_P376686,NM_019602,,,,,
A_23_P376704,NM_001279,O60543,,,,
A_23_P376727,NM_138326,Q8TDX5,,,,
A_23_P376735,NM_153219,Q96C55,,,,
A_23_P376759,NM_003584,O75319,,,,
A_23_P37676,NM_007223,H9NIL9,,,,
A_23_P376799,NM_015262,A8K5W5,,,,
A_23_P376870,NM_174891,Q96F83,,,,
A_23_P37702,NM_003294,P20231,,,,
A_23_P377094,NM_013364,Q9UL41,,,,
A_23_P377141,NM_015186,,,,,
A_23_P37718,NM_001297,,,,,
A_23_P377212,NM_138336,,,,,
A_23_P377214,NM_144608,Q96MH2,,,,
A_23_P377245,NR_037869,,,,,
A_23_P377291,NM_003236,P01135,,,,
A_23_P377299,NM_014693,,,,,
A_23_P377339,NM_144645,Q96KX1,,,,
A_23_P37736,NM_001192,Q02223,,,,
A_23_P377376,NM_001005386,P61160,,,,
A_23_P377411,AF130105,,,,,
A_23_P377434,NM_001080495,A3KMH2,,,,
A_23_P3775,NM_018233,Q8N543,,,,
A_23_P377616,NR_023312,,,,,
A_23_P377629,NM_001166137,B4DYI2,,,,
A_23_P377664,NM_001135745,,,,,
A_23_P377750,NM_004465,O15520,,,,
A_23_P37778,NM_013241,Q9Y613,,,,
A_23_P377819,NM_001039465,A0A024R6D8,,,,
A_23_P377839,NR_026552,,,,,
A_23_P377860,NR_027243,,,,,
A_23_P377882,NM_172056,A0A090N7W1,,,,
A_23_P377888,NM_014967,Q9Y2M0,,,,
A_23_P377965,NR_026849,,,,,
A_23_P377996,NM_178532,Q86T96,,,,
A_23_P378288,NM_022465,Q9H2S9,,,,
A_23_P378416,NM_001001996,A0A024RBX1,,,,
A_23_P378427,NM_139171,P59095,,,,
A_23_P378450,NM_144614,Q8NHZ7,,,,
A_23_P378526,NM_016434,Q9NZ71,,,,
A_23_P378690,NM_001008495,Q6YI46,,,,
A_23_P37870,NM_005861,Q9UNE7,,,,
A_23_P37877,NM_022493,Q9H6Q4,,,,
A_23_P37892,NM_133443,A0A024R6R2,,,,
A_23_P378926,NM_000682,A2RUS0,,,,
A_23_P379020,NR_002328,,,,,
A_23_P379026,NM_019096,A0A024RD30,,,,
A_23_P379034,NM_025045,Q6UXY1,,,,
A_23_P379054,NM_148960,,,,,
A_23_P379071,NM_145032,Q8N1P0,,,,
A_23_P37910,NM_002746,L7RXH5,,,,
A_23_P37914,NM_052944,Q8WWX8,,,,
A_23_P379200,NM_175736,Q8IVF7,,,,
A_23_P379327,NM_001040450,Q8NBR6,,,,
A_23_P37942,NM_021195,P56747,,,,
A_23_P379475,NM_014762,Q15392,,,,
A_23_P37949,NM_024339,Q86W42,,,,
A_23_P379550,NM_003680,P54577,,,,
A_23_P379601,NM_004983,Q92806,,,,
A_23_P379614,NM_007280,A0A024R9N0,,,,
A_23_P379630,NM_138570,,,,,
A_23_P379649,NM_001003940,Q96LC9,,,,
A_23_P379657,NM_152489,Q5VVX9,,,,
A_23_P379692,NM_174943,Q8N769,,,,
A_23_P379746,NM_144973,Q6ZUT9,,,,
A_23_P379789,NM_013305,O15466,,,,
A_23_P379794,NM_178517,Q7Z7B1,,,,
A_23_P37983,NM_005947,P07438,,,,
A_23_P37988,NM_152727,Q96FN4,,,,
A_23_P37994,NM_016212,,,,,
A_23_P379945,NM_001080414,B4DZB8,,,,
A_23_P380010,NM_020759,Q9P2P6,,,,
A_23_P38011,NM_014003,Q92620,,,,
A_23_P38015,NM_001105079,B3KTZ7,,,,
A_23_P380181,NM_006769,P61968,,,,
A_23_P380208,NM_024621,Q14D04,,,,
A_23_P380240,NM_001816,B4DLI3,,,,
A_23_P380298,NM_014731,,,,,
A_23_P380309,NM_173629,Q8N1N2,,,,
A_23_P380318,NM_001965,B7ZKU3,,,,
A_23_P380326,NM_018375,C4N9M8,,,,
A_23_P380371,NM_152230,Q8NFU5,,,,
A_23_P380379,ENST00000328705,,,,,
A_23_P38041,NM_016256,Q9UK23,,,,
A_23_P380526,NM_018189,Q7L190,,,,
A_23_P380614,NM_006045,B4DR18,,,,
A_23_P380724,NM_021826,Q7L8L6,,,,
A_23_P380754,NM_002769,P07477,,,,
A_23_P380766,NM_006035,A0A024R6N2,,,,
A_23_P380815,NM_015634,Q96EK5,,,,
A_23_P380857,NM_030643,Q9BPW4,,,,
A_23_P380871,NM_001040703,B2RU30,,,,
A_23_P380881,NM_152345,A0A024QZ29,,,,
A_23_P380901,NM_005048,P49190,,,,
A_23_P380917,NM_014300,A0A024RC78,,,,
A_23_P380928,NM_001198793,A0A0A6YYG9,,,,
A_23_P380951,NM_144689,Q8TAQ5,,,,
A_23_P380965,NM_016475,Q9P055,,,,
A_23_P380990,NM_173535,Q8N1N0,,,,
A_23_P380998,NM_015361,Q15032,,,,
A_23_P381017,NM_152559,Q8N6F8,,,,
A_23_P381102,NM_207310,Q96LY2,,,,
A_23_P381172,NM_206898,,,,,
A_23_P381203,NM_015202,O60303,,,,
A_23_P381261,NM_139247,,,,,
A_23_P381351,NM_001317,A8K6C2,,,,
A_23_P381368,NM_002148,P28358,,,,
A_23_P381449,NM_003110,Q02086,,,,
A_23_P381461,NM_144999,Q96CN5,,,,
A_23_P381478,NM_152492,Q2M243,,,,
A_23_P381489,NR_026863,,,,,
A_23_P381505,NM_001135924,Q8N2E2,,,,
A_23_P38154,NM_004110,A0A0C4DGN7,,,,
A_23_P381577,NM_145011,P17030,,,,
A_23_P38167,NM_022036,A0A0C4DFY5,,,,
A_23_P381714,NM_198584,Q8N1Q1,,,,
A_23_P381746,NM_030632,Q9C0F0,,,,
A_23_P38181,NM_138619,A8K6M0,,,,
A_23_P3819,NM_023931,A0A024QZG5,,,,
A_23_P38190,NM_139280,A0A024R1W6,,,,
A_23_P382000,NM_005989,P51857,,,,
A_23_P382043,NM_152729,Q5TFE4,,,,
A_23_P382045,NM_020245,Q9NRJ4,,,,
A_23_P38206,NM_032356,Q9BRA0,,,,
A_23_P382065,NM_016242,Q4W5J1,,,,
A_23_P382094,NR_026869,,,,,
A_23_P382188,NM_001013841,Q9UGK3,,,,
A_23_P38219,NM_006445,Q6P2Q9,,,,
A_23_P382199,NM_003574,Q9P0L0,,,,
A_23_P382240,NM_178505,Q6ZUK4,,,,
A_23_P3823,NM_001122957,,,,,
A_23_P38244,NM_000042,P02749,,,,
A_23_P382488,NM_138360,Q8ND23,,,,
A_23_P382506,NR_002169,,,,,
A_23_P38254,NM_018127,,,,,
A_23_P382602,NM_004326,A0A024QYY4,,,,
A_23_P382682,NM_001113475,Q6NXP6,,,,
A_23_P382705,NM_152588,Q8N394,,,,
A_23_P38271,NM_017534,Q9UKX2,,,,
A_23_P382775,NM_014417,Q9BXH1,,,,
A_23_P382794,NM_176889,P59543,,,,
A_23_P382811,NM_152628,Q8N9S9,,,,
A_23_P382835,NM_002563,P47900,,,,
A_23_P383009,NM_000599,A0A024R433,,,,
A_23_P383031,NM_032449,Q5T0F9,,,,
A_23_P38304,NM_145273,Q6UXG3,,,,
A_23_P383118,NM_020883,Q9P217,,,,
A_23_P383132,NM_015094,Q96JB3,,,,
A_23_P383227,NM_006271,P23297,,,,
A_23_P383258,NM_004293,A0A024R231,,,,
A_23_P383278,NM_023078,A0A0A0MQS1,,,,
A_23_P38328,ENST00000439818,,,,,
A_23_P383325,NM_152775,Q8TBZ0,,,,
A_23_P383422,NM_139239,Q8NI38,,,,
A_23_P383435,NM_004773,A0A024R0X8,,,,
A_23_P38346,NM_024119,A0A024R1Y5,,,,
A_23_P383590,NR_026985,,,,,
A_23_P383601,NR_029434,,,,,
A_23_P38365,NM_006852,Q86UE8,,,,
A_23_P383679,NM_032821,,,,,
A_23_P383688,NM_020745,Q5JTZ9,,,,
A_23_P383819,NM_016569,A0A024RBL6,,,,
A_23_P383915,NM_144587,Q32M84,,,,
A_23_P383977,NM_006049,A0A024R5X1,,,,
A_23_P383986,NM_015892,Q7LFX5,,,,
A_23_P384023,NM_001042413,Q1PHJ8,,,,
A_23_P384044,NM_152495,Q8TBE1,,,,
A_23_P384056,NM_022757,Q49A88,,,,
A_23_P38408,NM_024835,Q9H3C7,,,,
A_23_P38427,NM_032932,Q86YS3,,,,
A_23_P384329,NM_001144823,Q05C90,,,,
A_23_P38446,NM_021137,Q13829,,,,
A_23_P384499,NM_020761,Q6DKI0,,,,
